name,RA,Dec,TOI,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth,disposition,priority
"TIC 408636441.01",21:47:24.4,62:45:13.74,1759.01,9.9,2459876.46386,,18.8500111,0.0000372,3.407,"TOI-1759 b (updated 2023-02-09)",2.36,CP,1
"TIC 420112587.01",19:20:41.75,73:11:45.58,1760.01,12.5,2458691.531496,,11.0626659826953,0.00048970914,2.08421564591642,"v-shaped; close visual binary (updated 2022-12-14)",4.96,FP,5
"TIC 424391516.01",18:46:18.63,75:18:12.12,1761.01,10.6,2459714.913736,,11.5922513199797,0.000040438623,3.48689466298574,"L1 candidate (updated 2023-06-16)",0.37,PC,2
"TIC 435680451.01",01:11:39.6,79:09:55.77,1762.01,10.6,2458810.921261,,24.1412289941159,0.000068320966,3.06976496565349," (updated 2023-06-16)",1.61,PC,2
"TIC 441739871.01",17:18:15.4,74:18:09.8,1763.01,12.8,2459657.048337,,3.7979081,0.000023,0.642," (updated 2023-06-16)",1.47,PC,2
"TIC 1551345500.01",18:29:10.32,55:18:47.19,1764.01,11.2,2459744.020242,,47.3860753,0.0000375,1.81,"v-shaped; multiple stars in pixel (updated 2022-12-14)",19.55,PC,3
"TIC 272672133.01",15:36:58.03,67:27:09.28,1765.01,11.7,2459690.102516,,3.493958,0.0000038,1.961," (updated 2023-03-15)",3.65,PC,3
"TIC 67666096.01",09:54:34.35,40:23:16.6,1766.01,9.4,2459635.207263,,2.7033942,0.0000051,2.927,"KELT-3 b (updated 2022-12-14)",10.34,KP,5
"TIC 8767448.01",09:20:24.71,33:52:56.38,1767.01,10.0,2458892.510627,,4.3532339,0.0001972,3.869,"WASP-13 b (updated 2022-12-14)",10.27,KP,5
"TIC 137906197.01",10:08:24.67,55:32:23.86,1768.01,9.9,2459627.02424,,7.3376973,0.0000704,4.012,"2 stars in pixel; possible depth-aperture correlation (updated 2022-12-14)",0.68,PC,1
"TIC 287225295.01",09:36:00.08,51:36:28.02,1769.01,9.5,2459606.763284,,0.6097552,0.0000013,0.433,"V-shaped; significant odd-even (updated 2022-12-14)",0.60,APC,1
"TIC 457138169.01",09:25:28.31,50:54:31.95,1770.01,9.2,2459605.893177,,1.09245357642221,0.000003925065,1.22457849262174,"TIC 457138168 (Tmag ~13.915) nearby; v-shaped (updated 2023-04-01)",0.87,FP,5
"TIC 252479260.01",10:22:43.55,50:07:43.36,1771.01,9.0,2459629.717062,,3.2122325,0.0000006,2.655,"HAT-P-22 b (updated 2022-12-14)",14.52,KP,5
"TIC 85293053.01",10:27:21.05,34:23:27.42,1772.01,9.4,2459628.849872,,8.05422072638224,0.00003299683,3.02871611944131,"potential multi (updated 2022-12-14)",0.71,PC,1
"TIC 332064670.01",08:52:35.24,28:19:47.34,1773.01,5.2,2459577.776735,,0.736545815150004,0.0000010139275,1.55501601019909,"55 Cnc e (updated 2022-12-14)",0.37,KP,5
"TIC 4897275.01",09:52:38.86,35:06:39.63,1774.01,7.6,2458872.341155,,16.710042174913,0.0032803328,5.40046516776682,"still only two transits as of s48; transit that would have been in s48 landed in data gap (updated 2022-12-14)",0.62,CP,1
"TIC 9348006.01",10:00:27.62,39:27:27.9,1775.01,10.9,2459635.364326,,10.2405483,0.000014,3.538," (updated 2023-02-22)",9.95,PC,3
"TIC 21535395.01",10:59:06.55,40:59:01.39,1776.01,7.7,2458871.488566,,2.8009914707958,0.00058950053,1.49853987456756,"bright star (updated 2022-12-14)",0.20,PC,2
"TIC 29191624.01",10:07:13.69,46:06:53.57,1777.01,8.7,2459635.116524,,14.6503935,0.0002236,2.08,"low SNR (updated 2022-12-14)",0.33,PC,2
"TIC 39699648.01",09:07:06.63,46:40:20.73,1778.01,8.5,2458876.025023,,6.51595066707795,0.0015533104,2.53343092705777," (updated 2022-12-14)",0.43,PC,1
